 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +5.6666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2997976053819460E+01	  +0.0000000000000000E+00	
  +5.8333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2000000000000000E+01	  +2.2975717419333321E+01	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2923109546027160E+01	  +0.0000000000000000E+00	
  +6.1666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2880521941483565E+01	  +0.0000000000000000E+00	
  +6.3333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.2880588523046590E+01	  +0.0000000000000000E+00	
  +6.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000007E+01	  +2.2870116911457789E+01	  +0.0000000000000000E+00	
  +6.6666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2839724578722130E+01	  +0.0000000000000000E+00	
  +6.8333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000007E+01	  +2.2806868229659489E+01	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2744772077570346E+01	  +0.0000000000000000E+00	
  +7.1666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000007E+01	  +2.2689689924105071E+01	  +0.0000000000000000E+00	
  +7.3333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2664583676034699E+01	  +0.0000000000000000E+00	
  +7.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.2630941065003707E+01	  +0.0000000000000000E+00	
  +7.6666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.6000000000000000E+01	  +2.2605180160360511E+01	  +0.0000000000000000E+00	
  +7.8333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.2591199213035985E+01	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.6000000000000000E+01	  +2.2537561061755863E+01	  +0.0000000000000000E+00	
  +8.1666666666666661E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.9000000000000000E+01	  +2.2473178047911262E+01	  +0.0000000000000000E+00	
  +8.3333333333333339E+00	  +5.8885861799714199E+04	  +1.0000000000000000E+00	  +3.9999999999999993E+01	  +2.2447489251388394E+01	  +0.0000000000000000E+00	
  +8.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.2589596151526610E+01	  +0.0000000000000000E+00	
  +8.6666666666666661E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2000000000000000E+01	  +2.2676854363587779E+01	  +0.0000000000000000E+00	
  +8.8333333333333339E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2624122043525048E+01	  +0.0000000000000000E+00	
