 TIME                    	Tin                      	Tout                     	Gas                      	signal                   	elec                     	RHin                     	RHout                    	occ                      	rwt                      	swt                      	setpoint                 	
 HOURS              	NAV                 	øC                  	kJ/hr               	NAV                 	NAV                 	NAV                 	%                   	NAV                 	NAV                 	øC                  	NAV                 	
  +2.1666666666666665E+00	  +1.9719192624723366E+01	  +4.3833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.8439999999999981E+02	  +4.9635277431641299E+01	  +7.9083333333333343E+01	  +1.0000000000000000E+00	  +1.9574330815859994E+01	  +1.9574330815859994E+01	  +6.0000000000000000E+01	
  +2.3333333333333335E+00	  +1.9773134636872228E+01	  +4.3500000000000005E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8340000000000003E+02	  +4.9107407860972863E+01	  +7.9250000000000000E+01	  +1.0000000000000000E+00	  +1.9571212502351973E+01	  +1.9571212502351973E+01	  +5.5000000000000000E+01	
  +2.5000000000000000E+00	  +1.9792880751123416E+01	  +4.3166666666666673E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.4559999999999991E+02	  +4.8698458404336350E+01	  +7.9416666666666657E+01	  +1.0000000000000000E+00	  +1.9583520405740362E+01	  +1.9583520405740362E+01	  +7.5000000000000000E+01	
  +2.6666666666666665E+00	  +1.9769071385391825E+01	  +4.2833333333333332E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.9700000000000000E+02	  +4.8433360873927803E+01	  +7.9583333333333343E+01	  +1.0000000000000000E+00	  +1.9585132426525472E+01	  +1.9583520405740362E+01	  +7.5000000000000000E+01	
  +2.8333333333333335E+00	  +1.9750620015788314E+01	  +4.2500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.9160000000000002E+02	  +4.8163204692234622E+01	  +7.9750000000000000E+01	  +1.0000000000000000E+00	  +1.9594660067830038E+01	  +1.9594660067830038E+01	  +8.0000000000000000E+01	
  +3.0000000000000000E+00	  +1.9675746788863563E+01	  +4.2166666666666677E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.6819999999999993E+02	  +4.8071876642486089E+01	  +7.9916666666666657E+01	  +1.0000000000000000E+00	  +1.9597953499252021E+01	  +1.9597953499252021E+01	  +7.5000000000000000E+01	
  +3.1666666666666665E+00	  +1.9588467278860477E+01	  +4.1833333333333327E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2680000000000007E+02	  +4.8026887346697059E+01	  +8.0083333333333343E+01	  +1.0000000000000000E+00	  +1.9605549499778910E+01	  +1.9605549499778910E+01	  +5.5000000000000000E+01	
  +3.3333333333333335E+00	  +1.9559711185604787E+01	  +4.1500000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8359999999999997E+02	  +4.7816622487881723E+01	  +8.0250000000000000E+01	  +1.0000000000000000E+00	  +1.9609131656792805E+01	  +1.9609131656792805E+01	  +5.0000000000000000E+01	
  +3.5000000000000000E+00	  +1.9538851502596739E+01	  +4.1166666666666671E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5840000000000006E+02	  +4.7592451776021043E+01	  +8.0416666666666657E+01	  +1.0000000000000000E+00	  +1.9615371997614680E+01	  +1.9615371997614680E+01	  +5.0000000000000000E+01	
  +3.6666666666666665E+00	  +1.9541906701825880E+01	  +4.0833333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0159999999999997E+02	  +4.7307219932426214E+01	  +8.0583333333333343E+01	  +1.0000000000000000E+00	  +1.9619426846402849E+01	  +1.9619426846402849E+01	  +4.0000000000000000E+01	
